,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
08/02/2020 16:06:46,18.75,13.28125,9.375,14.84375,14.0625,53,53,52,52,53,2106.003,2106.003,2106.003,2106.003,5.782193,3.809126,0.03599995,0.9669084,100.285858,70.9466,11.255558,4.609272,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:47,12.5,11.71875,14.84375,17.1875,14.0625,53,53,51,52,53,2106.002,2106.002,2106.002,2106.002,5.56102943,3.637225,0.0310085565,0.9021609,100.285812,70.9612961,11.2578888,4.606941,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:48,18.75,22.65625,18.75,23.4375,20.8984375,52,56,54,52,56,2106.00317,2106.00317,2106.00317,2106.00317,7.08678627,5.021082,0.05863966,1.00640321,100.285866,70.96606,11.2586441,4.606186,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:49,14.84375,15.625,13.28125,15.625,14.84375,53,53,52,52,53,2106.003,2106.003,2106.003,2106.003,6.191395,4.157533,0.0582349524,0.99269706,100.285858,70.97827,11.260582,4.604248,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:50,12.3076916,10.76923,10.76923,23.0769215,14.23077,54,54,52,54,54,2106.00317,2106.00317,2106.00317,2106.00317,6.202794,4.192331,0.0549231879,0.988258839,100.285866,71.00044,11.2640991,4.600731,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:51,18.2539711,15.8730145,7.14285374,15.0793667,14.0873013,52,53,52,52,53,2106.003,2106.003,2106.003,2106.003,5.636971,3.68741369,0.0334658548,0.935299,100.285851,70.99849,11.26379,4.60104,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:52,17.96875,10.15625,10.9375,16.40625,13.8671875,53,53,51,52,53,2106.002,2106.002,2106.002,2106.002,5.779553,3.76877618,0.06620798,0.973844767,100.285812,70.99253,11.2628441,4.601986,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:53,12.5,10.15625,10.15625,14.84375,11.9140625,52,52,52,53,53,2106.00269,2106.00269,2106.00269,2106.00269,5.2862,3.389846,0.0222565345,0.875888646,100.285843,70.9914,11.2626648,4.602165,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
08/02/2020 16:06:54,38.8888855,28.8888874,36.6666679,35.5555534,34.9999962,55,54,55,53,55,2106.00244,2106.00244,2106.00244,2106.00244,8.877569,6.448999,0.05972814,1.05180216,100.285828,70.99902,11.2638741,4.600956,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,33,85.67816
