,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
08/01/2020 16:14:49,13.28125,16.40625,14.0625,11.71875,13.8671875,51,50,50,50,51,2106.00171,2106.00171,2106.00171,2106.00171,4.99007,3.61097121,0.0301769488,0.9719543,100.2858,60.6221428,9.61759949,6.24723053,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:50,10.9375,15.625,14.84375,26.5625,16.9921875,50,51,51,51,52,2106.00317,2106.00317,2106.00317,2106.00317,5.490312,4.09276056,0.0347831845,0.9598939,100.285858,60.6290169,9.61869049,6.24613953,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:51,21.875,17.96875,14.0625,24.21875,19.53125,50,51,50,51,51,2106.00342,2106.00342,2106.00342,2106.00342,6.117592,4.708907,0.04729765,1.00417018,100.285873,60.6412544,9.620632,6.244198,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:51,13.8888893,12.5,6.944442,9.722221,10.7638893,52,51,50,50,52,2106.00342,2106.00342,2106.00342,2106.00342,5.17952967,3.83574653,0.0360462628,0.949501,100.285873,60.6410179,9.620594,6.244236,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:53,13.28125,14.84375,17.96875,14.0625,15.0390625,50,51,50,51,51,2106.00269,2106.00269,2106.00269,2106.00269,5.354528,3.97816372,0.029155381,0.960491,100.285843,60.5798225,9.610886,6.2539444,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:54,12.5,7.8125,7.8125,7.03125,8.7890625,49,50,50,50,51,2106.003,2106.003,2106.003,2106.003,4.59366369,3.25912714,0.0393737331,0.9005376,100.285851,60.5754662,9.610195,6.254635,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:55,11.71875,10.15625,14.0625,14.0625,12.5,50,49,50,50,51,2106.0022,2106.0022,2106.0022,2106.0022,5.09343,3.7391212,0.03631571,0.9801739,100.285828,60.5852776,9.611752,6.25307846,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:56,18.75,21.09375,28.125,23.4375,22.8515625,50,51,51,50,51,2106.00269,2106.00269,2106.00269,2106.00269,6.106957,4.72640371,0.02748195,0.9555972,100.285843,60.5481071,9.605854,6.258976,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:57,16.40625,14.84375,17.1875,18.75,16.796875,49,50,50,51,51,2106.00269,2106.00269,2106.00269,2106.00269,5.12521267,3.753632,0.04052397,0.962490141,100.285835,60.5213928,9.601616,6.263214,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:58,15.625,11.71875,10.9375,11.71875,12.5,50,49,49,50,51,2106.003,2106.003,2106.003,2106.003,4.78952742,3.46235371,0.0303784516,0.9404561,100.285851,60.4486046,9.590069,6.274761,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:14:59,16.40625,10.9375,12.5,17.96875,14.453125,51,54,53,53,54,2106.003,2106.003,2106.003,2106.003,5.2679143,3.86951232,0.07086907,0.965401053,100.285858,60.43286,9.58757,6.27726,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
08/01/2020 16:15:00,13.28125,11.71875,15.625,17.96875,14.6484375,49,50,50,49,50,2106.00269,2106.00269,2106.00269,2106.00269,5.6426816,4.237617,0.05566004,0.975242138,100.285843,60.42567,9.58643,6.27840042,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,85.25079
