,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
08/07/2020 20:11:26,62,58,60.0000038,70,62.5,40,45,41,41,44,2306.57568,2306.57568,2306.57568,2306.57568,3.52896047,3.52922916,3.5300715,3.52987266,100.2859,75.0414,11.9051895,3.9596405,31,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,34,87.10196
08/07/2020 20:11:29,87.76515,78.89086,87.9281845,89.0659943,85.91255,40,39,39,39,42,2106.004,2106.004,2106.004,2106.004,11.1581688,9.250679,0.04174713,1.2515527,100.2859,75.61518,11.99622,3.86861038,30,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,34,87.10196
08/07/2020 20:11:30,100,100,100,100,100,42,43,42,42,43,2106.0022,2106.0022,2106.0022,2106.0022,11.9112511,10.2446051,0.047349304,1.34624243,100.28582,75.66654,12.0043678,3.86046219,31,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,34,87.10196
08/07/2020 20:11:31,100,100,100,100,100,43,45,42,43,45,2106.003,2106.003,2106.003,2106.003,11.982893,10.323987,0.0482801534,1.30446947,100.285858,75.68181,12.00679,3.85803986,31,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,30,87.1030045
08/07/2020 20:11:32,100,100,100,100,100,43,45,43,44,45,2106.00244,2106.00244,2106.00244,2106.00244,13.0508728,10.1606436,0.720634,1.79370642,100.285835,75.68298,12.0069771,3.857853,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,30,87.1030045
08/07/2020 20:11:33,100,99.21875,100,100,99.80469,43,45,43,44,45,2106.00244,2106.00244,2106.00244,2106.00244,13.4842825,10.5033436,1.32965827,1.59658325,100.285835,75.7783051,12.0220985,3.84273148,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,30,87.1030045
08/07/2020 20:11:34,100,99.21875,100,100,99.80469,44,45,43,44,45,2106.00317,2106.00317,2106.00317,2106.00317,13.2772331,10.3626995,1.17869568,1.80757153,100.285858,75.95253,12.04974,3.81509018,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,30,87.1030045
08/07/2020 20:11:35,100,100,100,100,100,44,45,43,44,45,2106.002,2106.002,2106.002,2106.002,12.1575594,10.3817377,0.157846615,1.5596168,100.285805,76.2090149,12.0904312,3.7743988,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,30,87.1030045
08/07/2020 20:11:36,100,100,100,100,100,44,46,43,44,46,2106.00317,2106.00317,2106.00317,2106.00317,12.22709,10.4317293,0.120629385,1.57372892,100.285873,76.57515,12.1485176,3.71631241,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,30,87.1030045
