,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
08/13/2020 00:01:33,25,41.6666679,41.6666641,41.6666641,37.5,35,36,34,35,37,1203.43,1203.43,1203.43,1203.43,52.59547,56.6396179,68.03941,65.5306854,100.285835,81.30221,12.8984566,2.96637344,27,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:35,100,100,100,100,100,35,37,34,35,37,1203.42932,1303.71509,1303.71509,1303.71509,7.06128836,5.439789,0.0312165916,1.22688353,100.285774,81.45121,12.9220963,2.94273376,27,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:39,100,100,100,100,100,36,37,34,36,37,1303.71655,1303.71655,1404.00232,1303.71655,7.049176,5.38167,0.0327621,1.2983855,100.285881,81.82901,12.9820328,2.88279724,29,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:40,99.21875,100,100,100,99.80469,36,37,35,35,37,1203.42981,1203.42981,1203.42981,1203.42981,6.70144749,5.15240335,0.0377067924,1.319983,100.28582,81.77676,12.9737434,2.89108658,28,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:41,100,100,100,100,100,36,37,35,36,37,1303.71582,1303.71582,1303.71582,1303.71582,6.74938059,5.180107,0.0453639179,1.4039582,100.285835,81.78967,12.9757919,2.889038,28,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:42,100,100,100,100,100,37,37,35,36,37,1303.71619,1303.71619,1303.71619,1303.71619,7.19304132,5.60127974,0.0298720375,1.37853694,100.285858,81.63261,12.9508743,2.91395569,28,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:43,100,100,100,100,100,37,38,36,37,38,1404.00183,1404.00183,1404.00183,1404.00183,7.27302837,5.62686062,0.0350313745,1.450397,100.285843,81.4505157,12.9219856,2.94284439,28,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:44,100,100,100,100,100,37,38,36,36,38,1404.002,1404.002,1404.002,1404.002,7.706906,5.781875,0.08458717,1.41176236,100.285851,81.0587,12.8598251,3.005005,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 00:01:45,100,99.21875,100,100,99.80469,38,38,36,37,38,1504.28711,1504.28711,1504.28711,1504.28711,7.59144926,6.08541155,0,1.56080091,100.285805,80.97019,12.8457832,3.01904678,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 08:59:53,98.27586,100,100,100,99.56896,33,36,32,33,36,2306.57349,2306.57349,2306.57349,2306.57349,8.115568,8.116398,8.118897,8.118335,100.285805,81.0801239,12.863224,3.001606,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 08:59:54,91.9354858,99.19355,99.19355,97.58065,96.97581,37,40,35,36,40,2306.57446,2306.57446,2306.57446,2306.57446,15.9094229,12.4040651,0,1.75978863,100.285851,81.1713257,12.8776932,2.98713684,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 08:59:59,92.04081,94.8979645,96.32653,92.04081,93.82653,32,34,31,32,34,1303.71606,1303.71606,1303.71606,1303.71606,7.60234165,5.46028042,0.0235129371,1.23572469,100.285851,82.36728,13.0674286,2.79740143,24,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:03,100,100,100,100,100,33,33,31,32,34,1303.7157,1404.00146,1203.42981,1203.42981,6.76226425,4.932378,0.04397478,1.29230785,100.28582,83.778595,13.2913322,2.57349777,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:06,100,100,100,99.77778,99.94444,33,34,33,33,35,1404.00146,1203.42981,1404.00146,1203.42981,6.88766336,5.259104,0.03020878,1.265458,100.28582,83.80099,13.2948837,2.56994629,0,135,405.000031,270,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:07,100,100,100,100,100,33,35,33,34,36,1404.00244,1404.00244,1404.00244,1404.00244,7.3150754,5.66699553,0.0288444161,1.23307133,100.285889,83.87791,13.3070869,2.557743,27,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:08,100,100,100,100,100,34,35,34,34,36,1404.00171,1404.00171,1404.00171,1404.00171,8.257067,5.67136574,0.0322597,1.23818135,100.285835,83.86728,13.3054008,2.55942917,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:09,100,100,100,100,100,34,36,33,33,36,1404.002,1404.002,1404.002,1404.002,7.310516,5.75135231,0.0326184779,1.0944277,100.285851,83.98026,13.3233261,2.541504,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:10,100,100,100,100,100,35,36,34,35,36,1504.28723,1504.28723,1504.28723,1504.28723,7.87754774,6.251559,0.0251416322,1.28308165,100.28582,83.97625,13.3226891,2.542141,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:11,100,99.21875,100,100,99.80469,35,37,35,34,37,1604.574,1604.574,1604.574,1604.574,8.206912,6.36532354,0.10195224,1.53725243,100.285873,84.37362,13.3857307,2.47909927,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:12,100,100,100,100,100,35,37,35,36,37,1704.8595,1704.8595,1704.8595,1704.8595,9.260078,6.86223936,0.0607668124,1.65019882,100.285851,84.4932861,13.4047165,2.46011353,27,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:13,100,100,100,100,100,36,38,35,36,38,1805.14478,1805.14478,1805.14478,1805.14478,9.757098,7.56964,0.0406170525,1.62377548,100.28582,84.54364,13.4127045,2.45212555,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:14,100,100,100,100,100,37,38,36,38,39,1805.14563,1805.14563,1805.14563,1805.14563,9.98273,7.95409775,0.186200067,1.7683537,100.285866,84.73816,13.4435654,2.42126465,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:15,99.21875,100,100,100,99.80469,37,39,37,38,40,1905.43115,1905.43115,1905.43115,1905.43115,10.2065678,8.382818,0.06187976,1.566258,100.285851,84.9153748,13.47168,2.39315033,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,89.87943
08/13/2020 09:00:16,100,100,100,100,100,38,39,37,38,39,1905.43091,1905.43091,1905.43091,1905.43091,11.4907722,8.824602,0.0170755871,1.67395639,100.285835,84.9748154,13.48111,2.3837204,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:17,100,100,99.21875,100,99.80469,39,41,38,39,41,2005.71667,2005.71667,2005.71667,2005.71667,12.0130739,9.450594,0.0175022129,1.49292076,100.285835,85.04339,13.4919891,2.372841,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:18,100,100,100,100,100,40,41,38,39,41,2005.71716,2005.71716,2005.71716,2005.71716,11.5318127,9.716651,0.0290475432,1.63398635,100.285858,84.9395142,13.47551,2.38932037,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:19,100,100,100,100,100,41,41,39,41,41,2106.003,2106.003,2106.003,2106.003,12.2831488,10.4436846,0.009927342,1.564767,100.285851,85.09655,13.5004234,2.36440659,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:20,100,100,100,100,100,40,42,39,40,41,2106.002,2106.002,2106.002,2106.002,12.5056028,10.813899,0.00817189552,1.41894376,100.285805,85.01223,13.4870453,2.37778473,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:21,99.21875,100,100,100,99.80469,40,41,39,41,42,2106.00146,2106.00146,2106.00146,2106.00146,12.5295153,10.7391539,0.009462405,1.53714931,100.285782,85.18004,13.5136681,2.351162,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:22,100,100,100,100,100,41,42,39,41,42,2106.00439,2106.00439,2106.00439,2106.00439,12.6257105,10.731226,0.0173583087,1.837137,100.285919,84.99489,13.4842949,2.38053513,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:23,100,100,100,100,100,40,42,40,41,42,2106.00342,2106.00342,2106.00342,2106.00342,12.4807587,10.6157551,0.008037444,1.87696469,100.285873,85.06577,13.4955406,2.3692894,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:24,100,100,100,100,100,41,43,39,41,43,2106.00269,2106.00269,2106.00269,2106.00269,12.53464,10.4929419,0.0129740443,2.25301623,100.285835,85.1078,13.5022087,2.36262131,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:25,100,100,100,100,100,41,43,39,41,43,2106.00269,2106.00269,2106.00269,2106.00269,12.5074625,10.4321747,0.0104322359,2.33724546,100.285843,85.0299,13.4898491,2.374981,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:26,100,100,100,100,100,42,44,40,41,44,2106.00269,2106.00269,2106.00269,2106.00269,12.7472258,10.69468,0.0143165123,2.25119472,100.285843,84.8505,13.4613876,2.40344238,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:27,100,100,100,100,100,41,43,40,43,43,2106.00269,2106.00269,2106.00269,2106.00269,12.7107286,10.633215,0.0159860346,2.33585262,100.285843,85.0590439,13.4944725,2.37035751,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:28,96.875,95.3125,99.21875,100,97.85156,42,43,41,43,43,2106.003,2106.003,2106.003,2106.003,12.8576956,10.8145885,0.009410484,2.23702359,100.285858,85.01737,13.4878616,2.37696838,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:29,85.15625,90.625,94.53125,94.53125,91.21094,42,44,42,43,44,2106.0022,2106.0022,2106.0022,2106.0022,12.4655132,10.6285257,0.007131684,1.82565022,100.285812,85.0453339,13.4922981,2.372532,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:30,91.40625,86.71875,92.1875,97.65625,91.99219,42,44,41,42,44,2106.00317,2106.00317,2106.00317,2106.00317,12.4735966,10.6991482,0.0092351865,1.72063839,100.285858,84.93687,13.47509,2.38974,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
08/13/2020 09:00:31,42.1875,43.75,50,56.25,48.046875,39,40,40,40,41,2106.00317,2106.00317,2106.00317,2106.00317,9.920378,8.284146,0.008455818,1.416684,100.285866,84.80044,13.4534454,2.41138458,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,26,89.88187
