,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/load/0,/atigpu/2/temperature/0,/atigpu/2/clock/0,/atigpu/2/clock/1,/atigpu/2/load/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Core","Temperature","Used Space"
10/24/2021 17:53:30,25,26.5625,15.625,18.75,21.484375,1796.62646,1796.62646,1796.62646,1796.62646,199.625153,61.00884,4.24521637,2.71314621,0,0,20,0,40,348.5,771.73,4,40,48.73516
10/24/2021 17:53:31,56.25,31.25,32.8125,31.25,37.890625,1796.62708,1796.62708,1796.62708,1796.62708,199.625229,61.02518,4.246353,2.71200943,0,0,20,0,40,345.44,780.48,3,40,48.73516
10/24/2021 17:53:32,49.2307663,41.53846,44.6153831,36.9230728,43.07692,1796.62549,1796.62549,1796.62549,1796.62549,199.625046,61.027916,4.246544,2.7118187,0,0,20,0,40,359.31,805.13,4,40,48.73516
10/24/2021 17:53:33,35.384613,39.9999962,32.30769,23.0769215,32.6923065,1796.62671,1796.62671,1796.62671,1796.62671,199.625183,61.0252838,4.246361,2.7120018,0,0,20,0,40,353.509979,780.45,3,40,48.73516
10/24/2021 17:53:34,34.375,34.375,26.5625,17.1875,28.125,1796.62683,1796.62683,1796.62683,1796.62683,199.6252,61.0289078,4.24661255,2.71175,0,0,20,0,40,343.539978,777.05,3,40,48.73516
10/24/2021 17:53:35,60.9375,57.8125,48.4375,53.125,55.078125,1796.62622,1796.62622,1796.62622,1796.62622,199.625137,61.082634,4.250351,2.70801163,0,0,20,0,40,351.039978,875.82,4,40,48.73516
10/24/2021 17:53:36,35.9375,40.625,40.625,34.375,37.890625,1796.62585,1796.62585,1796.62585,1796.62585,199.625092,61.13142,4.253746,2.70461655,0,0,20,0,40,352.63,801.029968,3,40,48.73516
10/24/2021 17:53:37,29.6875,37.5,29.6875,21.875,29.6875,1796.626,1796.626,1796.626,1796.626,199.6251,61.1724854,4.25660324,2.70175934,0,0,20,0,39,349.449982,767.829956,3,40,48.73516
10/24/2021 17:53:38,29.6875,25,29.6875,23.4375,26.953125,1796.62585,1796.62585,1796.62585,1796.62585,199.6251,61.17342,4.256668,2.70169449,0,0,20,0,39,348.539978,753.79,3,40,48.73516
10/24/2021 17:53:39,37.5,26.5625,29.6875,29.6875,30.859375,1796.62683,1796.62683,1796.62683,1796.62683,199.625214,61.07945,4.2501297,2.70823288,0,0,20,0,39,343.419983,746.35,3,40,48.73516
10/24/2021 17:53:40,50.68493,41.09589,41.09589,43.8356171,44.17808,1796.62634,1796.62634,1796.62634,1796.62634,199.625153,61.1785126,4.257023,2.70133972,0,0,20,0,39,367.18,835.24,5,40,48.73516
10/24/2021 17:53:41,39.2857132,41.0714264,28.5714264,28.5714264,34.375,1796.62573,1796.62573,1796.62573,1796.62573,199.625076,61.1476479,4.254875,2.7034874,0,0,20,0,39,355.35,784.26,4,40,48.73516
10/24/2021 17:53:42,27.6923065,21.53846,21.53846,19.9999981,22.6923046,1796.62708,1796.62708,1796.62708,1796.62708,199.625229,61.1502266,4.25505447,2.703308,0,0,20,0,39,356.47,777.639954,4,40,48.73516
10/24/2021 17:53:43,19.9999981,23.0769215,18.4615364,10.76923,18.07692,1796.62622,1796.62622,1796.62622,1796.62622,199.625137,61.11788,4.252804,2.70555878,0,0,20,0,39,343.28,764.36,3,40,48.73516
10/24/2021 17:53:44,45.4545441,43.18182,40.9090919,40.9090919,42.613636,1796.62878,1796.62878,1796.62878,1796.62878,199.625427,61.12342,4.253189,2.70517349,0,0,20,0,39,343.52,790.8,3,40,48.73516
10/24/2021 17:53:45,78.125,75,76.5625,71.875,75.390625,1796.62683,1796.62683,1796.62683,1796.62683,199.6252,61.2120132,4.25935364,2.699009,0,0,20,0,39,365.009979,894.199951,4,40,48.73516
10/24/2021 17:53:46,55.76923,51.9230766,50,42.3076935,50,1796.625,1796.625,1796.625,1796.625,199.625,61.1966057,4.25828171,2.70008087,0,0,20,0,39,353.84,864.459961,4,40,48.73516
10/24/2021 17:53:47,60.9375,45.3125,56.25,48.4375,52.734375,1796.62549,1796.62549,1796.62549,1796.62549,199.625046,61.26535,4.26306534,2.69529724,0,0,20,0,39,359.68,867.5,4,40,48.73516
10/24/2021 17:53:48,34.375,31.25,18.75,17.1875,25.390625,1796.62549,1796.62549,1796.62549,1796.62549,199.625061,61.31749,4.266693,2.69166946,0,0,20,0,39,347.81,809.76,3,40,48.73516
10/24/2021 17:53:49,58.4615364,33.8461533,47.6923065,35.384613,43.84615,1796.62732,1796.62732,1796.62732,1796.62732,199.625259,61.2493973,4.26195526,2.69640732,0,0,20,0,39,345.53,822.149963,3,40,48.73516
10/24/2021 17:53:50,37.5,40.625,23.4375,21.875,30.859375,1796.6261,1796.6261,1796.6261,1796.6261,199.625122,61.26979,4.26337433,2.69498825,0,0,20,0,39,341.94,793.5,3,40,48.73516
10/24/2021 17:53:51,51.5625,39.0625,32.8125,35.9375,39.84375,1796.6261,1796.6261,1796.6261,1796.6261,199.625122,61.2924347,4.26495,2.69341278,0,0,20,0,39,366.69,824.43,4,40,48.73516
10/24/2021 17:53:52,56.25,46.875,46.875,42.1875,48.046875,1796.62683,1796.62683,1796.62683,1796.62683,199.6252,61.29435,4.26508331,2.69327927,0,0,20,0,38,378.13,807.76,5,40,48.73516
10/24/2021 17:53:53,48.4375,67.1875,51.5625,40.625,51.953125,1796.62585,1796.62585,1796.62585,1796.62585,199.625092,61.23937,4.261257,2.69710541,0,0,20,0,38,374.62,836.579956,6,40,48.73516
10/24/2021 17:53:54,62.5,62.5,40.625,48.4375,53.515625,1796.62585,1796.62585,1796.62585,1796.62585,199.6251,61.2788963,4.26400757,2.694355,0,0,20,0,38,383.58,864.57,6,41,48.7352448
10/24/2021 17:53:55,75,76.5625,75,78.125,76.171875,1796.62646,1796.62646,1796.62646,1796.62646,199.625168,61.2139854,4.259491,2.69887161,0,0,20,0,38,403.949982,907.949951,8,41,48.7352448
10/24/2021 17:53:56,96.875,98.4375,98.4375,100,98.4375,1796.62549,1796.62549,1796.62549,1796.62549,199.625061,61.35142,4.26905441,2.68930817,0,0,20,0,38,432,923.829956,13,41,48.7352448
10/24/2021 17:53:57,86.15385,90.76923,84.61539,89.23077,87.69231,1796.62671,1796.62671,1796.62671,1796.62671,199.625183,61.5656662,4.28396225,2.67440033,0,0,20,0,38,463.699982,905.31,15,41,48.7352448
