,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/load/0,/atigpu/2/temperature/0,/atigpu/2/clock/0,/atigpu/2/clock/1,/atigpu/2/load/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Core","Temperature","Used Space"
09/29/2021 15:23:43,10.76923,7.69230747,9.230768,13.8461533,10.3846188,2253.951,2253.951,2253.951,2253.951,195.995743,56.01869,3.89798355,3.060379,0,0,20,0,37,305.32,808.17,0,44,48.164772
09/29/2021 15:23:44,7.69230747,9.230768,12.3076916,6.153846,8.846151,2253.95044,2253.95044,2253.95044,2253.95044,195.995682,56.0575562,3.90068817,3.05767441,0,0,20,0,37,305.32,779.76,0,44,48.164772
09/29/2021 15:23:45,38.4615364,38.4615364,44.6153831,49.2307663,42.6923027,2253.95386,2253.95386,2253.95386,2253.95386,195.996,56.0844231,3.90255737,3.05580521,0,0,20,0,37,308.919983,876.8,0,44,48.164772
09/29/2021 15:23:46,7.8125,4.6875,12.5,7.8125,8.203125,2253.94653,2253.94653,2253.94653,2253.94653,195.995346,56.00619,3.8971138,3.06124878,0,0,20,0,37,306.18,796.339966,0,44,48.164772
09/29/2021 15:23:47,78.125,67.1875,57.8125,71.875,68.75,2253.95557,2253.95557,2253.95557,2253.95557,195.99614,56.0870552,3.90274048,3.055622,0,0,20,0,37,343.41,876.389954,5,44,48.164772
09/29/2021 15:23:48,57.8125,40.625,35.9375,51.5625,46.484375,2253.951,2253.951,2253.951,2253.951,195.995728,56.17619,3.90894318,3.0494194,0,0,20,0,37,344.009979,860.87,5,44,48.164772
09/29/2021 15:23:49,15.625,28.125,23.4375,17.1875,21.09375,2253.95068,2253.95068,2253.95068,2253.95068,195.995712,56.16079,3.90787125,3.05049133,0,0,20,0,37,330.34,783.36,3,44,48.164772
09/29/2021 15:23:50,53.125,50,50,53.125,51.5625,2253.95313,2253.95313,2253.95313,2253.95313,195.995911,56.21961,3.91196442,3.04639816,0,0,20,0,37,327,857.94,3,44,48.164772
09/29/2021 15:23:51,45.3125,46.875,43.75,53.125,47.265625,2253.949,2253.949,2253.949,2253.949,195.99556,56.26681,3.91524887,3.04311371,0,0,20,0,37,320.94,817.709961,2,44,48.164772
09/29/2021 15:23:52,17.1875,20.3125,20.3125,21.875,19.921875,2253.952,2253.952,2253.952,2253.952,195.995819,56.2851753,3.91652679,3.04183578,0,0,20,0,37,310.06,774.79,1,44,48.164772
09/29/2021 15:23:53,10.9375,10.9375,15.625,20.3125,14.453125,2253.95313,2253.95313,2253.95313,2253.95313,195.995926,56.2684059,3.9153595,3.043003,0,0,20,0,37,308.199982,762.55,0,44,48.164772
09/29/2021 15:23:54,10.76923,7.69230747,9.230768,12.3076916,10.0000019,2253.95142,2253.95142,2253.95142,2253.95142,195.995789,56.1822777,3.90936661,3.048996,0,0,20,0,37,308.41,730.51,0,44,48.164772
09/29/2021 15:23:55,21.875,40.625,40.625,37.5,35.15625,2253.95264,2253.95264,2253.95264,2253.95264,195.995865,56.22575,3.91239166,3.045971,0,0,20,0,37,308.289978,833.31,0,44,48.164772
09/29/2021 15:23:56,14.0625,17.1875,18.75,15.625,16.40625,2253.94873,2253.94873,2253.94873,2253.94873,195.995544,56.3082581,3.91813278,3.0402298,0,0,20,0,37,311.61,787.16,1,44,48.164772
09/29/2021 15:23:57,26.5625,29.6875,34.375,28.125,29.6875,2253.952,2253.952,2253.952,2253.952,195.9958,56.382103,3.92327118,3.0350914,0,0,20,0,37,318.15,843,2,44,48.164772
09/29/2021 15:23:58,31.25,31.25,28.125,31.25,30.46875,2253.95,2253.95,2253.95,2253.95,195.995651,56.48588,3.9304924,3.02787018,0,0,20,0,37,332.32,772.3,4,44,48.164772
09/29/2021 15:23:59,20.3125,18.75,18.75,23.4375,20.3125,2253.95361,2253.95361,2253.95361,2253.95361,195.995956,56.4698143,3.92937469,3.028988,0,0,20,0,37,316.69,739.94,1,44,48.164772
09/29/2021 15:24:00,31.25,21.875,25,29.6875,26.953125,2253.95142,2253.95142,2253.95142,2253.95142,195.995789,56.56181,3.93577576,3.02258682,0,0,20,0,37,310.49,844,1,44,48.164772
09/29/2021 15:24:01,35.384613,32.30769,30.76923,36.9230728,33.8461533,2253.95,2253.95,2253.95,2253.95,195.995651,56.5487061,3.934864,3.02349854,0,0,20,0,37,329.97,794.399963,4,44,48.164772
09/29/2021 15:24:02,19.9999981,4.615384,6.153846,4.615384,8.846151,2253.952,2253.952,2253.952,2253.952,195.995819,56.5989227,3.93835831,3.02000427,0,0,20,0,37,313.99,742.029968,1,44,48.164772
09/29/2021 15:24:03,15.3846149,7.69230747,19.9999981,13.8461533,14.23077,2253.952,2253.952,2253.952,2253.952,195.995819,56.5101128,3.9321785,3.026184,0,0,20,0,37,312.09,740.899963,1,44,48.164772
09/29/2021 15:24:04,14.0625,12.5,14.0625,15.625,14.0625,2253.94971,2253.94971,2253.94971,2253.94971,195.995621,56.5663033,3.93608856,3.022274,0,0,20,0,37,307.65,719.2,0,44,48.164772
09/29/2021 15:24:05,42.1875,35.9375,53.125,31.25,40.625,2253.95166,2253.95166,2253.95166,2253.95166,195.995789,56.57738,3.93685913,3.02150345,0,0,20,0,37,308.71,826.91,0,44,48.164772
09/29/2021 15:24:06,28.125,18.75,18.75,32.8125,24.609375,2253.95239,2253.95239,2253.95239,2253.95239,195.995865,56.49268,3.93096542,3.02739716,0,0,20,0,37,308.6,800.48,0,44,48.164772
09/29/2021 15:24:07,26.5625,18.75,20.3125,25,22.65625,2253.949,2253.949,2253.949,2253.949,195.995575,56.47996,3.93008041,3.02828217,0,0,20,0,37,310.81,745.73,0,44,48.164772
09/29/2021 15:24:08,21.875,12.5,9.375,12.5,14.0625,2253.95532,2253.95532,2253.95532,2253.95532,195.996109,56.57798,3.936901,3.02146149,0,0,20,0,37,310.009979,725.519958,0,44,48.164772
09/29/2021 15:24:09,38.4615364,36.9230728,39.9999962,38.4615364,38.4615364,2253.94922,2253.94922,2253.94922,2253.94922,195.99559,56.5684967,3.93624115,3.02212143,0,0,20,0,37,309.31,789.93,0,44,48.1647758
09/29/2021 15:24:10,81.25,73.4375,76.5625,85.9375,79.296875,1763.95886,1763.95886,2253.94751,2253.94751,195.995422,56.5779228,3.93689728,3.0214653,0,0,20,0,37,377.539978,879.88,6,44,48.1647758
09/29/2021 15:24:11,46.875,50,48.4375,40.625,46.484375,2253.95483,2253.95483,2253.95483,2253.95483,195.996063,56.5750732,3.936699,3.02166367,0,0,20,0,37,346.74,860.91,4,44,48.1647758
09/29/2021 15:24:12,32.8125,32.8125,32.8125,32.8125,32.8125,2253.95117,2253.95117,2253.95117,2253.95117,195.995758,56.5393867,3.93421555,3.024147,0,0,20,0,37,345.639984,820.13,3,44,48.1647758
09/29/2021 15:24:13,46.875,43.75,43.75,45.3125,44.921875,2253.95166,2253.95166,2253.95166,2253.95166,195.9958,56.2506943,3.91412735,3.04423523,0,0,20,0,37,342.62,839.149963,4,44,48.1647758
09/29/2021 15:24:14,25,29.6875,18.75,20.3125,23.4375,2253.95239,2253.95239,2253.95239,2253.95239,195.995865,56.3880234,3.92368317,3.03467941,0,0,20,0,37,318.68,815.99,1,44,48.1647758
09/29/2021 15:24:15,46.1538429,64.61538,50.7692337,53.8461571,53.8461571,2253.95044,2253.95044,2253.95044,2253.95044,195.995682,56.3582,3.921608,3.03675461,0,0,20,0,37,332.93,890.05,2,44,48.1647758
09/29/2021 15:24:16,37.5,31.25,28.125,37.5,33.59375,2253.95166,2253.95166,2253.95166,2253.95166,195.995789,56.4014549,3.92461777,3.03374481,0,0,20,0,37,331.31,821,2,44,48.1647758
09/29/2021 15:24:17,73.8461456,67.69231,70.7692261,69.2307739,70.38461,2253.95117,1763.96179,1763.96179,1763.96179,195.995743,56.5427322,3.93444824,3.02391434,0,0,20,0,37,363.12,884.13,4,44,48.1647758
09/29/2021 15:24:18,87.5,87.5,90.625,95.3125,90.234375,1763.96155,1763.96155,1763.96155,1763.96155,195.995728,56.5946465,3.93806076,3.02030182,0,0,20,0,38,371.38,915.019958,6,44,48.1647758
09/29/2021 15:24:19,93.75,92.1875,96.875,98.4375,95.3125,2253.952,2253.952,2253.952,2253.952,195.995834,56.54635,3.9347,3.02366257,0,0,20,0,38,366.87,926.31,7,44,48.1647758
