,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
09/05/2020 17:55:25,8.717757,4.6875,3.14980149,8.606148,6.29029846,45,45,45,44,46,2106.001,2106.001,2106.001,2106.001,2.96522284,1.91490042,0.03532144,0.8027043,100.285759,65.2616959,10.3536568,5.51117325,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:26,7.8125,20.3125,6.25,12.5,11.71875,44,46,44,45,46,2106.00049,2106.00049,2106.00049,2106.00049,3.56916213,2.50726867,0.0226301122,0.788179755,100.285736,65.26131,10.3535957,5.51123428,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:27,8.59375,6.25,2.34375,8.59375,6.4453125,43,44,44,44,45,2106.00171,2106.00171,2106.00171,2106.00171,2.97276139,1.99713242,0.0199453346,0.7729119,100.2858,65.262085,10.3537178,5.511112,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:28,7.8125,6.25,3.125,3.90625,5.2734375,44,44,44,44,45,2106.00073,2106.00073,2106.00073,2106.00073,2.6089406,1.72067416,0.00559199136,0.692730963,100.285751,65.2620239,10.35371,5.51112,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:29,5.46875,5.46875,2.34375,5.46875,4.6875,43,44,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,2.607879,1.68433344,0.00406287238,0.731256366,100.285767,65.26289,10.3538475,5.51098251,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:30,8.59375,8.59375,7.03125,7.03125,7.8125,44,44,44,44,44,2106.001,2106.001,2106.001,2106.001,2.87103224,1.94019127,0.006096002,0.7218529,100.285759,65.2633743,10.3539238,5.510906,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:31,6.25,5.46875,6.25,7.8125,6.4453125,44,44,44,44,45,2106.001,2106.001,2106.001,2106.001,2.98217726,2.04323745,0.00386097026,0.7671868,100.285759,65.26237,10.3537636,5.51106644,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:32,7.03125,2.34375,5.46875,6.25,5.2734375,43,44,44,44,44,2106,2106,2106,2106,2.90082,1.94013119,0.006210289,0.7398852,100.285713,65.26309,10.353878,5.510952,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:33,8.59375,3.90625,5.46875,3.90625,5.46875,44,45,44,44,45,2106.002,2106.002,2106.002,2106.002,2.62676454,1.7333777,0.00544858864,0.695905864,100.285805,65.26266,10.3538094,5.51102066,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:34,4.6875,0.78125,4.6875,6.25,4.1015625,45,45,44,45,46,2106.00073,2106.00073,2106.00073,2106.00073,2.69644022,1.741775,0.00485756435,0.752676547,100.285751,65.26287,10.3538437,5.51098633,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
